연번,시설명,주소,비고
1,(사)좋은복지주간보호센터,충청남도 아산시 배방읍 북수로 83-14,041-546-7110
2,가온누리,충청남도 아산시 번영로169번길 6-5,041-548-3375
3,교통장애인협회,충청남도 아산시 외암리 1407,041-543-1025
4,꿈꾸는나무,충청남도 아산시 송악면 외암로 958,041-542-3690
5,농아인협회,충청남도 아산시 탕정면 선문로 217-2,041-544-8961
6,두리사랑주간보호센터,충청남도 아산시 탕정면 선문로 217-2,041-544-3691
7,메종드로제,충청남도 아산시 영인면 신정리길 189,041-543-7861
8,메종드에뜨왈,충청남도 아산시 영인면 신정리길 189,041-543-7834
9,메종드에스쁘아,충청남도 아산시 영인면 신정리길 189,041-544-2023
10,보금자리,충청남도 아산시 초사길 3-88,041-545-0054
11,사랑의집 에덴,충청남도 아산시 둔포면 아산호로840번길 88-49,041-531-8696
12,성모신나는일터,충청남도 아산시 영인면 신정리길 189,041-541-7861
13,수어통역센터,충청남도 아산시 탕정면 선문로 217-2,041-544-8962
14,시각장애인협회,충청남도 아산시 외암로 1407,041-546-1141
15,아가페,충청남도 아산시 신창면 서부남로 820-16,041-544-0101
16,아산 장애인 직업재활시설,충청남도 아산시 번영로169번길 13-1,041-548-3375
17,아산시장애인가족지원센터,충청남도 아산시 시민로449번길 26-6,041-425-0410
18,아산시장애인복지관 주간보호시설,충청남도 아산시 곡교천로27번길 12,041-545-7727
19,온유한집,충청남도 아산시 선장면 서부남로172번길 12-42,041-543-4638
20,장애인복지관,충청남도 아산시 곡교천로27번길 12,041-545-7727
21,장애인부모회,충청남도 아산시 탕정면 선문로 217-2,041-544-3691
22,장애인생활이동지원센터,충청남도 아산시 외암로 1407,041-549-1141
23,장애인자립생활지원센터,충청남도 아산시 시민로440번길 21,041-545-1713
24,장애인편의지원센터,충청남도 아산시 번영로143번길 36,041-546-1511
25,좋은이웃,충청남도 아산시 음봉로681번길 75,041-544-4580
26,지체장애인협회,충청남도 아산시 번영로143번길 36,041-546-1515
27,척수장애인협회,충청남도 아산시 시민로44번길 21,041-549-0902
28,파랑새둥지,충청남도 아산시 신창면 온천대로842번길 111,041-546-8312
