연번,시설명,주소,비고
1,3대가협동조합예비사회적기업 아산사랑주야돌봄센터,충청남도 아산시 영인면 영인로 14-7,041-545-2335
2,A+행복한방문목욕,충청남도 아산시 충무로 49 405호 (온천동),041-544-4279
3,감사재가복지센터,충청남도 아산시 신창면 온천대로 984 상가동 2층 209호 (아산 코아루 에듀파크 아파트),041-547-3400
4,굿널스방문간호센터,충청남도 아산시 무궁화안길14번길 22-14 (초사동),041-533-6067
5,금빛요양원,충청남도 아산시 고불로 663(좌부동),041-548-0777
6,금빛재가주간보호센터,충청남도 아산시 고불로 663 (좌부동 2층),041-548-0777
7,기쁨재가방문요양센터,충청남도 아산시 온천대로 1105-17 상가동 2층 206호 (득산동),041-546-7890
8,길벗요양원,충청남도 아산시 음봉면 충무로681번길 54-23,041-542-9188
9,나눔케어,충청남도 아산시 청운로84번길 15 2층 (온천동),041-544-4328
10,나이팅게일공동생활가정,충청남도 아산시 권곡로 47 104동 104호 (권곡동),041-543-1977
11,노블레스 실버빌 요양원,충청남도 아산시 배방읍 갈매길 159-23,041-531-6200
12,뉴데이 복지용구,충청남도 아산시 배방읍 모산로 38-11 115동 202호,041-546-1664
13,늘평안재가복지센터,충청남도 아산시 시민로 380 지하 1층 (온천동),041-548-7077
14,다정마을요양원,충청남도 아산시 도고면 온천대로 490-74,041-542-1311
15,도토리재가방문요양센터,충청남도 아산시 배방읍 모산로 22-2 가동 101호,041-541-9191
16,돌봄나래노인재가복지센터,충청남도 아산시 온주길16번길 20 (읍내동),041-542-7100
17,두리재가복지센터,충청남도 아산시 신창면 남성길 99 2층 207호,041-567-0445
18,디딤돌노인복지센터,충청남도 아산시 시민로208번길 21 (용화동 1층 ),041-549-5997
19,메디케어요양원,충청남도 아산시 둔포면 윤보선로336번길 55-1,041-532-3335
20,메리골드요양원,충청남도 아산시 배방읍 갈매길 42-25,041-546-7700
21,무지개동산요양원,충청남도 아산시 신창면 온천대로 1048-6,041-532-6369
22,미소주야간보호센터,충청남도 아산시 온천시문2로 4 1~2층 (온천동),041-545-2306
