연번,시설명,주소,비고
1,가내리 정자1,충청남도 아산시 신창면 가내리 1097 ,2011-04-12
2,가내리 정자2,충청남도 아산시 신창면 가내리 1073 ,2020-03-26
3,가내리 퍼걸러,충청남도 아산시 신창면 가내리 448-1 ,2016-10-26
4,가덕리 정자,충청남도 아산시 신창면 가덕리 590-2 ,2020-07-08
5,갈산리 정자,충청남도 아산시 탕정면 갈산리 555-8,2016-03-14
6,강당리 정자,충청남도 아산시 송악면 강당리 91,2006-07-07
7,강장3리 파고라,충청남도 아산시 송악면 강장3리,2022-06-08
8,걸매리 원두막,충청남도 아산시 인주면 걸매리 168,2009-09-01
9,공세리 원두막,충청남도 아산시 인주면 공세리 149-3,2009-09-01
10,공세리 파고라,충청남도 아산시 인주면 공세리 135-14,2014-04-01
11,공수리 퍼걸러,충청남도 아산시 배방읍 공수리 72-13,2018-06-04
12,궁화리 정자,충청남도 아산시 신창면 궁화리 130-1 ,2011-04-12
13,금산리 정자1,충청남도 아산시 도고면 금산리 145-4 ,2016-03-30
14,금산리 정자2,충청남도 아산시 도고면 금산리 3-23 ,2019-05-13
15,기곡리 정자,충청남도 아산시 도고면 기곡리 341 ,2015-03-18
16,기산동 정자,충청남도 아산시 기산동 219-1,2016-03-28
17,남성리 정자1,충청남도 아산시 신창면 남성리 205-1 신일아파트 ,2009-10-08
18,남성리 정자2,충청남도 아산시 신창면 남성리 산 190-1 ,2010-07-20
19,남성리 정자3,충청남도 아산시 신창면 남성리 1 남방제내 ,2013-11-12
20,남성리 정자4,충청남도 아산시 신창면 남성리 205-1 ,2017-03-07
21,대음리 원두막,충청남도 아산시 인주면 대음리 475,2009-09-01
22,대음리 정자,충청남도 아산시 인주면 대음리 61-1,2010-06-01
23,덕지리 정자,충청남도 아산시 음봉면 덕지리 580,2017-10-23
24,도흥리 정자,충청남도 아산시 인주면 도흥리 60-12,2020-03-01
25,동산리 정자,충청남도 아산시 탕정면 동산리 205-4,2014-05-28
26,동암리 정자1,충청남도 아산시 음봉면 동암리 522-2,2010-06-30
27,동암리 정자2,충청남도 아산시 음봉면 동암리 161-3,2011-05-17
28,동천리 정자,충청남도 아산시 음봉면 동천리 39,2009-10-16
29,동화리 정자,충청남도 아산시 송악면 동화리 672,2012-11-29
30,마곡리 정자,충청남도 아산시 송악면 마곡리 239-6,2009-04-15
31,명암리 정자,충청남도 아산시 탕정면 명암리 110-1,2008-12-17
32,모종동 쉼터,충청남도 아산시 모종동 728,2022-10-26
33,밀두리 정자1,충청남도 아산시 인주면 밀두리,2010-07-01
34,밀두리 정자2,충청남도 아산시 인주면 밀두리 534,2012-12-01
35,백석포리 정자,충청남도 아산시 영인면 백석포리 439-7 ,2009-08-24
36,봉농리 정자,충청남도 아산시 도고면 봉농리 586-1      ,2008-09-17
37,북수리 정자1,충청남도 아산시 배방읍 북수리 162,2009-08-31
38,북수리 정자2,충청남도 아산시 배방읍 북수리 1(북수4리),2011-04-04
