연번,명칭,도로명주소,비고
1,STX KAN 6단지 경로당,아산시 배방읍 연화로 11,2011
2,STX 칸 4단지 경로당,아산시 배방읍 용연로 53,2011
3,공수2리경로당,아산시 배방읍 모산로171번길 1-18,2018
4,공수3리 할머니 경로당,아산시 배방읍 모산로 150-25,2014
5,궁화2리 조내골 경로당,아산시 신창면 궁화로 24,1997
6,권곡11통 포스코더샾(아)경로당,아산시 권곡로 47,2009
7,권곡1통경로당,아산시 권곡로14번길 28,2003
8,권곡2통경로당,아산시 번영로 115번길 21-28 영동패밀리 나동 202호,1991
9,권곡4통경로당,아산시 번영로 169번길 6-2,2006
10,권곡5통+권곡6통+모종9통 경로당,아산시 삼동로 86번길 7,1990
11,권곡88올림픽@경로당,아산시 청운로 176번길 7,1988
12,권곡8통주공@경로당,아산시 박물관로 13,2003
13,권곡청솔@경로당,아산시 문화로 257-17,2002
14,남동경로당,아산시 온천대로1794번길 80,2010
15,남산빌라경로당,아산시 남산로 8번길 40-4,1986
16,남산현대@경로당,아산시 문화로 26-4,2007
17,남성13리코아루에듀파크경로당,아산시 신창면 온천대로 984,2009
18,다소미아파트경로당,아산시 신창면 남성길 198,2005
19,대흥5리경로당,아산시 선장면 서부북로23번길66-11,2009
20,도고금산1리경로당,아산시 도고면 금산길19,2001
21,도고금산2리경로당,아산시 도고면 도고산로745-8,1995
22,도고금산3리경로당,아산시 도고면 온천대로207번길 21,2001
23,도고기곡1리경로당,아산시 도고면 기곡로 62번길 22-17,1982
24,도고기곡2리경로당,아산시 도고면 도고면로 155번길 22,1995
25,도고기곡3리경로당,아산시 도고면 기곡로 31번길 64-14,1995
26,도고농은리경로당,아산시 도고면 도고산로 93-10,1996
27,도고덕암리경로당,아산시 도고면 덕암안길 53,1994
28,도고도산1리경로당,아산시 도고면 도고산로 287번길 74,2014
29,도고도산2리경로당,아산시 도고면 도고산로 333,1997
30,도고면시전4리경로당,아산시 도고면 온천대로 376-4,2009
31,도고봉농리경로당,아산시 도고면 아산만로35번길 50,1994
32,도고석당리경로당,아산시 도고면 도고저수지길 268-11,1994
33,도고시전1리경로당,아산시 도고면 도고산로 587번길 95,2012
